src_id,src_lang,tgt_lang
510,所谓爱，就是当感觉、热情、浪漫统统拿掉之后，你仍然珍惜对方。,nguyen su tran trong doi phuong.
511,有时候你放不下一个人，不是因为那个人无可替代，而是因为你在那 个人身上花费了太多的时间精力，一旦分开，就好像自己用时间和青春细 心堆砌的城堡轰然倒塌。,"C6 luc ban khong the buong mot nguroi khong phai vi khong ai c6 the thay the nguoi ay ma vi ban da ton rat nhieu thoi gian va cong surc vi nguoi ay, mot khi chia tay n6 giong nhu ban than dung thoi gian va thanh xuan xay dap nen toa thanh hung vi nhung von di da d8 nat muc rong tir ben trong."
512,伸手需要一瞬间，牵手却要很多年，无论你遇见谁，他都是你生命该 出现的人，绝非偶然。,Gio tay chi can mot nhay mat nhung nam tay lai can rat nhieu thoi gian. Cho du khong phai ngau nhien.
513,一个人就算再好，但不愿陪你走下去，那他就是过客。一个人就算 有再多缺点，可能处处忍让你，陪你到最后，那就是终点。因为陪伴与懂 得，比爱情更加重要。,"Mot nguoi c6 tot den dau nhung khong nguyen ? cung ban tron doi thi anh ta chi la nguoi khach qua duong. Mot nguoi cho du co nhieu khuyet diem the nao nhung chuyen gi anh ta cung nhuong nhin ban, di cung ban toi cuoi con duong, d6 moi la dieu quan trong nhat. Boi vi co the di cung va hieu nhau con quan trong va y nghia hon tinh yeu rat nhieu."
514,很多人，突然就不再联系了，和重不重要无关，却和需不需要相连。 我们必须承认人走茶凉的道理，哪怕离开很短暂，走了就是走了，不是所 有的回头，都有人在原地等你。,"Rat nhieu nguoi dot nhien khong lien lac gi voi ta, chuyen nay khong phai quan trong hay khong nhung lai lién quan den c6 can hay khong. Chung ta buoc phai thia nhan rang: Nguoi da ra di thi tinh cam se lanh nhat, cho du ban roi di trong mot khoang thoi gian rat ngan nhung da ra di la ra di. Ding mong ban quay lai thi nguoi ta van con luon cho doi ban."
515,当一个人忽略你时，不要伤心，每个人都有自己的生活，谁都不可能 一直陪你。不要对一个人太好，因为你终会发现，这样时间久了，那个人 是会习惯的，然后把你做的一切看作是理所应当。其实你明明知道，最卑 贱不过感情，最凉不过是人心。,suos oono o nap tonlu you  uonq nep bunp  ueq oi oq tongu hou yu riéng cua minh. Khong ai c6 the ? ben ban mai ca. Durng d6i xur qua t6t voi mot nguoi nao d6 boi thoi gian qua di ban se nhan ra rang anh ta se quen voi dieu d6 va coi nhtrng gi ban lam cho anh ta la durong nhien. Thuc ra ban hieu ro tinh cam la thu dé tién nhat con long nguoi la thu nguoi lanh nhat.
516,有多少人故意赌气关掉手机，忍不住打开后，发现什么也没有。自作 多情以为自己在他心里有多重要，到最后才发现自己原来是个笑话。别再 傻了，人家不在乎你。,nura mo ra xem moi phat hién ra khong co gi het. Ban tu da tinh cho rang minh rat quan trong trong trai tim anh ay thi den cuoi cung at se biet minh chi la mot tro cuoi. Dirng co ngoc nora vi nguoi ta khong quan tam den ban dau.
517,总有一天你会遇到一个人，他会把你的照片设成手机屏幕，他会陪 你过以后你的每一个生日，他会心里只有你一个人，他会给你小惊喜小浪 漫，他会带你一起去很多地方，照很多很多照片，他会把你介绍给他的每 一个朋友，他会督促你的生活关心你的心情，他会每天对你说晚安····姑 娘，愿你以后遇到这样一个他。,"no yuy aep as e que sonu nou sonp dea as ueq op ou eu now up too u huo u ro equ qus dp suon uq ua o as teonn uip uu qu i uia song cua ban, quan tam den tam trang cua ban va se n6i ""Chuc ngu ngon"" voi ban hang dem... Co gai cua toi oi, hi vong ban se gap duoc mot nguoi tuyet voi nhu vay."
518,我在等那么一天，当我足够优秀足够勇敢，我能坚定地从你面前走 过，且带着一份从容，那将会是你从没见过的我。,"Anh dang cho den mot ngay khi anh du xuat sac, du dung cam, c6 the ung dung o n    i thay."
519,没必要刻意遇见谁，也不急于拥有谁，更不勉强留住谁。一切顺其自 然，最好的自己留给最后的人。,"Buouy gueo ea je nnq waiyo yoa ueo guouy guno '1e dea qun oo reyd ueo suouy can phai mien cuong ai d6 o ben minh. Moi thr cu de tu nhien, ban than minh tot nhat nen de cho nguoi cu6i cung ban nhé."
520,愿有人怜惜你最糟的样子；愿你的爱不是将就的；愿爱你的是被你吸 引的，而不是算计你好久的；愿你的爱情都是出于简单的真心。,"ban khong phai tam bo, mong nguoi yeu ban la vi sy loi cuon cua ban chur khong phai bay muu tinh toan da lau, mong tinh yeu cua ban xuat phat tir mot trai tim thuan tuy"
521,你没挽留，我没回头，如此余生各自安好；也没有谁不好，真的只是 时间不凑巧。,"Ban khong niu kéo, khong quay dau, ti d6 moi nguoi song cuoc song cua minh. Khong phai vi ai d6 khong tot ma tai thoi gian hai nguoi gap nhau khong dung thoi diem ma thoi."
522,追来的很累，强求的不美。想你的人，总会主动找你；不想你的人， 找了也是不睬不理。一直低三下四，只能贬低了自己；再三委曲求全，只 能难为着自己。,"Theo duoi thi met, cu?ng ép thi khong dep. Nguoi nho ban se chu dong di tim ban, nguoi khong nho ban cho du ban c6 tim nguoi ta cung chang doai hoai gi dau. Luc nao cung ha minh chi lam mat di gia tri ban than, c6 chiu thiet thoi toi dau cung chi lam kh6 so ban than minh ma thoi."
523,遇不到给你安全感的人不要紧，要学会自己给自己力量。看书、听 歌、跑步，你喜欢的任何事都行。认真丰富自己，安顿正负情绪，随遇而 安不是无所谓，是保证自己遇到什么情况都能撑得住自己。,"n   o    s sa   o duoc. Lam phong phu ban than minh, On dinh cam xuc va khong tranh gianh voi doi vung minh, kien dinh va su virng vang."
524,所有的人，在发誓的时候，都是真的觉得自己一定不会违背承诺。而 在反悔的时候，也都是真的觉得自己不能做到。所以，誓言这种东西，无 法衡量坚贞，也不能判断对错，它只能证明，在说出来的那一刻，彼此曾 经真诚过。,"Ai luc the th6t cung deu khong nghi toi viéc minh se phan boi loi the, nhung luc hoi han deu cho rang ban than khong the nao gitr duoc loi th?. Vi the loi the khong the do duoc long chung thuy, khong the phan doan dung sai, n6 chi c6 the churng minh rang luc noi ra loi the ca hai nguoi deu het surc chan thanh."
525,两个人能否走在一起，时机很重要。你出现在他想要安定的时候，那 么你就胜算很大。你出现在他对这个世界充满了好奇的时候，那么就算你 多美多优秀都是徒劳无用。,"Hai nguoi c6 the ? ben nhau hay khong thi thoi diem gap go rat quan trong. Ban xuat hien vao luc anh ay muon on dinh vay thi phan thang cua ban rat lon. Ban xuat hien vao luc anh ay con day su hieu ki ve the gioi nay thi ban c6 dep, c6 xuat sac den muc nao cung vo ich ma thoi!"
526,真正的爱，是接受，不是忍受；是支持，不是支配；是慰问，不是质 问。真正的爱，要道谢，也要道歉；要体贴，也要体谅；要认错，也好改 错。真正的爱，不是彼此凝视，而是共同沿着同一方向望去。其实，爱不是 寻找一个完美的人，而是要学会用完美的眼光去欣赏一个并不完美的人。,"nu     p n   n u d  s s na yeu thuc sy can biet cam on, biet xin loi, quan tam va thong cam cho nhau, biet nhan uony hun eud eu neuu ui ohu gyu sonp uou ns sh nn qu ies ens ea r ve mot noi. Thuc. ra, yeu khong phai la tim kiem mot nguoi hoan hao ma yeu la hoc cach dung cai nhin hoan hao de nhin mot nguoi khong hoan hao."
527,每个人都会找到一个对的人，那个人会对你好，随时随地想你、三 秒回你短信、拉紧你的手，给你送早餐、陪你吃饭、听你唱歌，不让你难 过、不让你伤心，这才是真正要陪你一辈子的人。幸福可以来得晚一些， 只要它是真的。,"Ai cung se tim thay nguoi thuoc ve minh, nguoi d6 se d6i t6t voi ban, nh6 ban moi luc moi noi, tra loi tin nhan cua ban trong ba giay, se nam chat tay ban, mang bura sang toi cho ban, cung ban an com, nghe ban hat, se khong khien ban buon va khong khien ban t6n thuong: D6 m6i la nguoi ban nen gan b6 su6t ca cuoc doi. Hanh phuc"
528,忘记一段感情，方法就是时间和新欢，如果还不能让你忘记，那就是 时间不够长，新欢不够好,"Muon quen di mot moi tinh chi c6 hai cach: Thoi gian va nguroi moi. Neu nhu ban van khong the quen, d6 la do thoi gian chua du dai hoac nguoi moi chua du tot."
529,当浪漫褪色、浓情渐淡，柴米油盐的温暖何尝不是最长情的告白？有 玫瑰，有表白。但爱情，要承诺，更需坚守！请珍惜那个来了之后就再也 没走的人。愿年迈珊，阳光和你仍在。,"Khi su lang man dan tr? nen don diéu, nhurng yeu throng nong am ngay nao dan tro nen nhat nhoa thi le nao nhtng quan tam cham soc thuong ngay khong phai la loi to tinh vinh curu nhat sao? C6 hoa hong thi c6 loi boc bach nhung tinh yeu con can nhung loi hura va gitr duoc loi hua lai cang quan trong hon! Xin hay tran trong lay nhtng nguroi sau khi da den ben ta ma khong roi b?, mong rang khi thoi gian troi dap aan ei naiuo uoq lonp ua Aeu uyu sonp uoo uea enb"
530,说不想谈恋爱是假的，说不美慕人家秀恩爱是假的，只是真没有碰到 一个认真的；所以，宁愿选择单身，也不想要随便谈感情；因为，我不想 当我遇见更好的人的时候，已经把最好的自己用完,"N6i khong muon yeu, khong muon nguong mo nguoi dang yeu la gia, chang qua'chi la khong gap duoc mot nguoi that long vi the nen tha co don chur khong tuy la em hoan hao nhat."
531,有事情是要说出来的，不要等着对方去领悟，因为对方不是你，不知 道你想要什么，等到最后只能是伤心和失望，尤其是爱情。,"C6 chuyén phai n6i ra dung bat doi phuong phai tu hieu. B?i d6i phuong khong phai ban, khong biet ban dang nghi gi, doi den cu?i cung chi c6 dau long va that vong, nhat la trong tinh yeu ban nhé."
532,背叛伤害不了你，能伤你的，是你太在乎。分手伤害不了你，能伤你 的，是回忆。无疾而终的恋情伤害不了你，能伤你的，是希望。你总以为 是感情伤害了你，其实伤到你的人，永远是自己。,tam. Chia tay cuing khong the khien ban ton thuong. Ban ton thuong la do nhurng hoi urc. Tinh yeu khong di den ket thuc thi khong the lam ton thuong ban. Thu lam ban uony uon ueq uay ueo yun sugu yyu uoni ug huoa ne ns e yuyo suony u thuc ra nguoi lam ton thuong ban chinh la ban than ban ma thoi.
533,我等你，一直一直等你。我在这里等你，其实只是为了攒够失望，多 到能说服自己戒掉对你的所有暖昧幻想。或许，不联系，就是我们最好的 关系；不打搅，就是我最后的温柔；相互忘记，就是我们最好的归宿。,"Em doi anh, doi anh mai. Em doi anh ? day thuc chat chi de chat chua that o s a o     o    u a lién lac la moi quan he tot nhat cua chung ta, khong lam phien la su diu dang cu6i cung cua em. Quen nhau di la diem den tot nhat cua chung ta."
534,怀念不一定就要相见，喜欢不一定就要在一起，你要相信，每一种距 离都有它存在的意义。,"Nh6 khong nhat thiet la phai gap nhau, yeu cung khong nhat thiet phai ? ben nhau. Ban phai tin rang: Moi loai khoang cach deu co y nghia rieng cua no."
535,人生最大的勇敢之一，就是经历了一次次欺骗和伤害之后，还能保持 信任和爱的能力。,Mot trong nhung duing cam lon nhat trong doi nguoi d6 la trai qua biet bao lan lira doi va ton thuong van con nguyen niem tin vao tinh yeu.
536,年轻的时候会想要谈很多次恋爱，但是随着年岁增长，终于明白爱一 个人，就算用一辈子的时间，还是会嫌不够。,p oi oeq suouy auno yop no ue ton sunp np ou yonu nou nn eu u :ueu e
537,你明明知道你需要放手却放不下，因为你还是在等待不可能的发生， 这种感觉真的很难受。,Ban biet ro minh nen buong tay nhung lai khong the buong boi ban dang cho mot chuyen khong the xay ra co the xay ra. Cam giac nay thuc su rat kho chiu.
538,总要经历一些背叛一些心酸，才能把人心看明白。没有人可以左右你 的人生，只是很多时候我们需要多一些勇气，去坚定自己的选择。有些记 忆，注定无法抹去；就像有些人，注定无法代替。,chung ta can them mot chut dung khi de kien dinh voi sy lua chon cua minh. Chan li trong cuoc doi nay.
539,不要轻易放弃一个每天都会想念的人。这样的人，一辈子也不会遇到 几个。即便在一起要吃很多苦头，咬咬牙也就过去了。生活的苦，会随光 阴淡去。但失去挚爱的疼痛，时间也无法洗涤。多年后仍能让你心痛的， 是当年轻易放弃的真爱。,Dung dé dang tir b? nguoi ma ban nho toi moi ngay boi nguoi nhu vay trong biet bao kh6 curc thi can rang chju durng roi cuing se qua di. Noi vat va cua cuoc song khong the xoa nhoa. Thur khien nhieu nam sau trai tim ban van con dau va ri mau Xea nqu uap oq n guep ep ueq op uu gu sny yp nak yun ei qu
540,你要相信，这个世界上总有一个人正在向你走来，带着最美丽的爱 情。你要做的只是在他出现之前，好好地照顾自己。,ban voi mot tinh yeu turoi dep. Viec ban can lam la truoc khi anh ay xuat hien hay cham soc minh that tot va that hoan hao.
541,踏踏实实找个人一起生活，你喜欢他他喜欢你，没有秘密，没有出 轨，没有不开心，性格不合适可以磨合，习惯不一样可以适应，只要都有 一颗想一直走下去的心就好。,"Ban cua toi oi, hay tim mot nguoi c6 the song yen on v6i ban suot cuoc doi, ban yeu nguoi d6 va nguoi d6 cung yeu ban, gita hai nguoi khong c6 bi mat gi, khong khac nhau c6 the thich ung, chi can ca hai deu muon song ben nhau mai mai la duoc"
542,爱情是人类整个感情世界中最为强烈的一种情感，真正的爱情能唤醒 人的潜能！其甜如蜜，其酸赛醋。恰到好处时，如醒酒汤般令人兴奋且清 醒；对于沉于其中不能自拔者，又如“迷魂汤”般使其晕头转向。,"Tinh yeu la thu tinh cam manh liet nhat trong the gioi tinh cam loai nguoi, tinh yéu dich thuc c6 the danh thuc tiem nang trong moi nguoi. N6 ngot nhu mat mia nhung c6 khi lai chua hon giam gao. Tinh yeu vua chin muoi giong nhu canh giai ruou khien nguoi ta hung phan lai tinh tao, con d6i voi nguoi chim dam trong d6 ma khong the dut ra, tinh yeu tua nhu thuoc me khien nguoi ta hoa mat ch6ng mat va khong the kiem soat ban than."
543,永远不要奢望有人能够无条件地对你好，若有人在你身上花费太多时 间却依然不着成效，他一定会找个时间离开，长久的感情靠得不仅是喜欢 与陪伴，更多的是彼此之间的付出与包容，所以，被拒千里之外的感情， 无须惦记，爱情如此，友情亦然,"Dung bao gio hi vong c6 nguoi se doi tot voi ban vo dieu kién. Neu nhu co o      ng dinh tim thoi co roi xa ban. Tinh cam lau dai khong chi la yeu va ? ben nhau, ngoai ra con can sy hi sinh va bao dung lan nhau gitra hai nguoi. Vi the tinh cam o cach xa ngan dam thi khong can de tam, tinh yeu nhu vay ma tinh ban cung the."
544,有时候，你以为会是一生一世，但到最后，却发现一瞬间就可以改变 所有。有时候，你总觉得很难继续，过着过着，就是一辈子了。感情的事 情，真的不是你能计划好。今天愿意为你付出一切的人，明天可能就相别 陌路。爱不随人愿，只留真心人。,C6 luc ban nghi minh se ? ben ai d6 tron doi nhung den cu6i cung moi phat hién ra chi can mot khoanh khac la co the thay doi tat ca. C6 luc ban nghi rang that ueq y e en yus y uaanu Aeu uou lonn sonp ei qun no ueq yqd sugu uns nhung ngay mai c6 the tr? thanh nguoi xa la. Tinh yeu khong theo y muon con nguoi n6 chi gitr nhurng nguoi c6 tinh cam lai ma thoi.
545,爱，不是寻找一个完美的人，而是学会用完美的眼光欣赏那个不完美 的人。,Yeu khong phai tim kiem mot nguoi hoan hao ma yeu la hoc cach dung cach nhin hoan hao de nhin mot nguoi khong hoan hao.
546,爱情里面所有的迁就都是甘心情愿，甚至了无痕迹的。有时候，并不 是他喜欢的东西你刚好全都喜欢，而是他喜欢的，你也愿意去喜欢，然后 就真的喜欢了。,n p nu n n  ei np na qu o n nu s go c6 mot dau vet nao. C6 luc khong phai thur anh ay thich ban cung thich nhung thiur anh ay thich ban cung thich theo roi dan dan tr? nen thich that su.
547,你不必逞强，不必说谎，懂你的人，自然会知道你原本的模样。,"Ban khong can phai to ra manh me cuing khong can n6i d6i, nguoi hieu ban se tu biet con nguoi that cua ban nhu the nao."
548,希望有这么一个人，不嫌弃我的坏脾气，不嫌弃我的坏习惯，不嫌弃 我的家境怎样，始终站在我身边，一不小心就白头到老了。,'nex qun Sunqu ay duouy gunqu Suouy lonu nou g Aeu Lop uan guoa 1H n6i khong churng lai song cung toi den tron doi ay chu.
549,时间最会骗人，但也能让你明白，这个世界没有什么不能失去的，离 去的都是风景，留下的才是人生，走到最后的，就是对的人。,"Thoi gian la thur biet lura nguoi nhat nhung no cung khien ban hieu rang: Trén doi nay khong c6 cai gi la khong the mat di, thu mat di chi la phong canh, con thu ? Dnu e yuo uonp uoo rono up uq luno i gun go lonn onu uoi ei yuyo e danh cho ban."
550,一段感情，能持续下去，最重要的或许不是爱，而是感恩。谢谢他在 人群里发现你，视若珍宝牵手至今；谢谢你把最珍贵的青春，只为他而燃 烧。为对方做的一切，都看在眼记在心。所以，将来无论发生什么，可以 吵架，可以生气，但绝不会离开。,Mot moi tinh co the kéo dai duoc hay khong dieu quan trong nhat c6 le khong n        o  o  s g e a y a   n        e o nhung nhat dinh khong the roi xa nhau.
551,任何一段凑合的婚姻，最后都会演变成为一段悔不当初的未来。如果 恋爱中你无法从对方那里发现自己的美好，那婚后定会是魔兽争霸的噩梦。,Bat cur mot cuoc hon nhan tam bo nao deu se dan toi sy h6i han cua hai nguoi sau nay. Neu nhu khi yeu ban khong the phat hien ra diem tot cua ban than minh tur u  e  o s   u h t ns s sn  nd g thu ma thoi.
552,拼命对一个人好，生怕做错一点对方就不喜欢你，这不是爱，而是取 悦。分手后觉得更爱对方，没他就活不下去，这不是爱情是不甘心。你拼 命工作努力做人，生怕别人会看不起你，这不是要强，而是恐惧。你要知 道，很多时候被情绪控制，只敢抓住而不敢放弃，是很累的。,"C6 gang de d6i t6t voi mot ai d6, so minh lam sai mot chut gi th6i thi nguoi d6 se khong thich minh ntura, d6 khong phai yeu ma la di tim niem vui. Sau khi chia tay cang yeu doi phuong hon, khong co anh ay thi khong the song duoc, d6 khong phai yeu ma la khong cam tam. Ban co gang lam viec, ngay cang hoan thien ban than hon, s       rd   s n x o n biet rang, co nhieu luc ban than bi cam xuc khong che, chi dam giv ma khong dam buong nhu the, han la rat met dung khong?"
553,不管是友情还是爱情，你来，我热情相拥。你走，我坦然放手。,"Cho du la tinh ban hay tinh yeu, ban den thi toi se nhiet tinh don nhan, ban di thi toi se than nhien buong tay."
554,最难过的，莫过于当你遇上一个特别的人，却明白永远不可能在一 起，或迟或早，你不得不放弃。,i uou rei hunqu niiq oep yonu no sonp dea ueq jun eh aeuu uonq naa lnu Aen eyo reqd suno ueq ja uonu uos sonn haiq ea nequ uaq reu e
555,当你熬过最孤独的时刻，就会觉得其实也不过如此，没有你想象的 那么难过，也就不需要别人陪伴了，无论你曾多么期待有人疼，最后也觉 得，算了，不指望了，一个人也好。,Khi ban trai qua luc co doc nhat ban se thay rang chang qua cung chi nhur vay a g tonu g uo uouy huno duom uon ueq nyu on up uonq sugu gu o cho du c6 ki vong c6 nguoi thuong den murc nao thi den cu6i cung ban sé thay: Thoi chi can mot minh la du.
556,好的爱情，永远是两个人的努力，而不是一个人的委曲求全。,on uoni lonu nou reud uou uo sni qu huno lonu jeu ei dap nan qu nhin nhurong va chiu phan sai.
557,在喜欢你的人那里，去热爱生活；在不喜欢你的人那里，去看清世界。,"Ban toi a, hay yeu cuoc song khi ? ben nhung nguoi thich ban va nhin nhan ro the gioi khi ? cung nhurng nguoi khong thich ban."
558,时间会告诉我们，简单的喜欢，最长远；平凡中的陪伴，最心安；懂 你的人，最温暖。,Thvi gian se n6i cho ban biet tinh yeu gian don la dai lau nhat. O ben nhau trong cuoc song binh thuong la an lanh nhat con nguoi hieu ban nhat la nguoi am ap nhat.
559,嫁的人是谁，很重要，因为他决定着你一辈子的生活状态。娶的人是 谁，更重要，她很有可能决定着你一生的层次和高度。不要将就地嫁，也 别违心地娶。,Lay ai lam chong rat quan trong boi vi anh ay quyet dinh den tinh trang cuoc quip haanb Ke oo aun g neu loq guon uenb aeu suno oa uei te uou ueq lop eo guos tang lop va thu bac ca doi ban. Dung lay bira ai d6 lam chong cuing dirng chon bira ai d6 lam vo.
560,与其卑微到尘土里，不如留一些骄傲与疼爱给自己。其实，有些相 见，不如怀念，好久不见，不如不见。,"Thay vi ty ti da den luc ra di chi bang kieu ngao va thuong yeu ban than hon mot chut, co nhung khi gap mat khong bang nho toi, lau khong gap khong bang khong bao gio gap lai."
561,注定在一起的人，不管绕多大一圈依然会回到彼此的身边。只要结局 是喜剧，过程怎么哭都行。幸福可以来的慢一些，只要它是真的，如果最 后能在一起，晚点也真的无所谓。,o g  a no  g  o  nu a  s  n nn vé ben nhau. Chi can ket thuc vién man thi cho du c6 khoc the nao cung duoc. Hanh saoca.
562,辑五 你真得无须讨好全世界 你永远无法满足全世界的眼光，最好的办法是谁不在乎你，你也不必 在乎他。不必为别人的一两句话就改变自己对自己的看法，自己是怎样继 续怎样，你的努力，只是为了自己和你在乎的人 别把自己看得太高，这个世界离开谁都行；别把自己看得太低，这世上 你独一无二。每个人的一生都有自己的使命，不用和别人比，好好活自己。,"Dirng danh gia ban than qua cao vi ai cung se phai roi bo the gioi nay, cung den voi the gibi nay deu co sur menh cua rieng minh. Dirng so sanh voi nguoi khac va hay song tot cuoc doi cua minh"
563,再大的伤痛，睡一觉就把它忘了。背着昨天追赶明天，会累坏了每一 个当下。边走边忘，才能感受到每一个迎面而来的幸福。烦恼不过夜，健 忘才幸福。,Cho du ton thurong lon den dau thi ngu mot giac la quen het. Om qua khu hom qua ma theo duoi tuong lai thi se rat met. Vira di vira quen moi c6 the cam nhan dugc
564,希望你一如既往地坚强勇敢，站在迎着光的地方，活成自己想要的 模样。,"Hi vong ban se luon kien cuong dung cam nhur xua, vung vang durng tai noi tran n luou yu u uq l gunu nyu uos ea suu ue deu"
565,有那么一瞬间突然觉得，我所有的等待在你眼里都没有意义，因为换 不来你的任何珍惜。不是我不懂得坚持，是太久没听到你的回音，所以， 这一次我决定走了。,"c6 y nghia gi trong mat anh. Boi vi em cam nhan nhung su doi cho d6 deu khong nhan duoc su tran trong tir anh. Khong phai em khong kien tri ma vi qua lau khong nghe thay hoi dap cua anh, vi the, lan nay em quyet dinh phai ra di."
566,很喜欢一句话：不要做廉价的自己，不要随意去付出，不要一厢情愿 去迎合别人，圈子不同，不必强融!,"Toi rat thich cau n6i: ""Dung khien ban than minh tr? nen ré mat, ding hi sinh mot cach tuy tien, dung don phuong don nhan mot ai d6, cuoc song khac nhau nen khong can mien cuong"""
567,以前以为坚持就是永不动摇，现在才明白，坚持是犹豫着、退缩着、 心猿意马着，但还在继续往前走,"L oia unqu uanyo Aei oia oeq uou ei  uy ueu yau no Ap son hieu rang kien tri la do du, la tron tranh, la khong quyet doan nhung van vung vang tiep tuc tien ve phia truoc."
568,别人拥有的，我们不必美慕，只要努力，我们也会拥有。当我们也拥 有了，不要炫耀，别人正在努力，迟早也会拥有。每天都要开心地笑，累 了就睡，醒了就笑，生活就该这样轻松。,"cung se dat duoc. Khi chung ta dat duoc roi cung khong can khoa truong boi nguoi khac cung dang c? gang, som muon gi ho cung se dat duoc. Moi ngay deu cuoi mot cach vui ve, met thi ngu, tinh day lai mim cuoi va cam nhan cuoc song nhe nhang nhu the thoi."
569,命运是个有着恶趣味的家伙，时不时就会故意发出一两个狠招，故意 刁难一下本想好好生活的人。我们对此自然有权气恼，有权悲伤，甚至可 以大哭一场或大骂几声宣泄心中的感受，但是，仅此就好。如果任由心中 的不满继续演化，并最终变成了仇视，那么随之改变的并不是那些让我们 不爽的人和事，只能是我们自己的生活。,"S6 phan la ke doc ac, bat chot vao luc nao d6, n6 se co tinh cho ban mot vai tai hoa, co y gay kh6 de cho nhung nguoi muon song yen 8n. Truoc nhtrng tai hoa nay, s  so  o g  nq np n g   n g n nhiec de xa n?i han trong long. Nhung chi nen the ma thoi, neu nhu de mac cho tam trang minh cur khong tot nhu the, mai den cuoi cung se hinh thanh nen cai nhin han thu, nhu vay thur thay doi khong phai la nhung chuyen khong vui ma chinh la cuoc song cua chung ta."
